league,season,game,jersey_number,player,team,is_starter,position,minutes_played,date,home_team,away_team,opponent_1,opponent,position_mode,is_oop,all_positions,most_common_position,position_1,position_2,position_3,position_4
ENG-Premier League,2324,Burnley-Manchester City,8,Mateo Kovacic,Manchester City,False,CM,68,2023-08-11,Burnley,Manchester City,Burnley,Burnley,DM,True,"CM,DM,LM,AML",CM,CM,,,
ENG-Premier League,2324,Burnley-Manchester City,10,Jack Grealish,Manchester City,False,LW,0,2023-08-11,Burnley,Manchester City,Burnley,Burnley,LW,False,"LW,CM,AML,LM",LW,LW,,,
ENG-Premier League,2324,Burnley-Manchester City,14,Aymeric Laporte,Manchester City,False,CB,12,2023-08-11,Burnley,Manchester City,Burnley,Burnley,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Burnley-Manchester City,21,Sergio Gomez,Manchester City,False,LW,0,2023-08-11,Burnley,Manchester City,Burnley,Burnley,LW,False,"LW,RW",LW,LW,,,
ENG-Premier League,2324,Burnley-Manchester City,24,Josko Gvardiol,Manchester City,False,LB,12,2023-08-11,Burnley,Manchester City,Burnley,Burnley,LB,False,LB,LB,LB,,,
ENG-Premier League,2324,Burnley-Manchester City,80,Cole Palmer,Manchester City,False,LM,11,2023-08-11,Burnley,Manchester City,Burnley,Burnley,RW,True,"LM,RW,AM,RF,AMR,RW,AM,CM,CM,RW,CM,FW,AM,DM,RW,DM,AM",RW,LM,,,
ENG-Premier League,2324,Burnley-Manchester City,87,James Mcatee,Manchester City,False,"DM,RB",1,2023-08-11,Burnley,Manchester City,Burnley,Burnley,CM,True,"DM,RB,CM,AM,RM,LM,RM,CM,RW,RF,FW,DM,AMC,AMR,FW",DM,DM,RB,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,1,Aaron Ramsdale,Arsenal,True,GK,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,2,William Saliba,Arsenal,True,CB,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,4,Ben White,Arsenal,True,CB,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,RB,True,"CB,RB,WB",CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,5,Thomas Partey,Arsenal,True,"RB,LM",90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,CM,True,"RB,LM,RB,CM,RB,CM,RM",RB,RB,LM,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,7,Bukayo Saka,Arsenal,True,RW,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,RW,False,"RW,RW,LB,RW,WB",RW,RW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,8,Martin Odegaard,Arsenal,True,RM,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,RM,False,"RM,RM,CM",RM,RM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,11,Gabriel Martinelli,Arsenal,True,LW,85,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LW,False,"LW,RW,LW,WB",LW,LW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,12,Jurrien Timber,Arsenal,True,LB,49,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LB,False,LB,LB,LB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,14,Eddie Nketiah,Arsenal,True,FW,73,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,FW,False,"FW,FW,LB",FW,FW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,29,Kai Havertz,Arsenal,True,LF,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LM,True,"LF,LM,FW,CM,LM,FW,RM,RM,LM,LM,RM,LM,CM",LM,LF,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,41,Declan Rice,Arsenal,True,CM,90,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,CM,False,"CM,LM,LM,CM",CM,CM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,6,Gabriel Magalhaes,Arsenal,False,CB,5,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,10,Emile Smith Rowe,Arsenal,False,LM,0,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LM,False,"LM,LW,RW,CM,RM",LM,LM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,15,Jakub Kiwior,Arsenal,False,LB,0,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LB,False,"LB,CB",LB,LB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,18,Takehiro Tomiyasu,Arsenal,False,LB,41,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LB,False,"LB,RB,LB,RB,CB",LB,LB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,19,Leandro Trossard,Arsenal,False,AML,17,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LW,True,"AML,LW,FW,LM,LW,CM,LM,CM,WB",LW,AML,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,20,Jorginho,Arsenal,False,CM,0,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,CM,False,"CM,RM,LM",CM,CM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,21,Fabio Vieira,Arsenal,False,LM,0,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,LM,False,"LM,RW,RM",LM,LM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,24,Reiss Nelson,Arsenal,False,RW,0,2023-08-12,Arsenal,Nottingham Forest,Nottingham Forest,Nottingham Forest,RW,False,"RW,LW,LW,RW,CM,LB",RW,RW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,1,Matt Turner,Nottingham Forest,True,GK,90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,4,Joe Worrall,Nottingham Forest,True,CB,89,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,5,Orel Mangala,Nottingham Forest,True,CM,89,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CM,False,"CM,DM",CM,CM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,10,Morgan Gibbs-White,Nottingham Forest,True,AML,90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,AM,True,"AML,AM,AMR,RW,RW,LW,RM,FW,CF,CM,LW,CM,DM,AM",AM,AML,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,20,Brennan Johnson,Nottingham Forest,True,RF,79,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,RW,True,"RF,RW,AM,LW,LW,RW,RW,LW,LM,DM,LW,RW,RW,LW,AMR,RW,FW,LW",RW,RF,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,22,Ryan Yates,Nottingham Forest,True,CM,90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,DM,True,"CM,DM,CB,RM,LM,LM,DM,CM,RM,DM,AM",DM,CM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,24,Serge Aurier,Nottingham Forest,True,"RM,RB",90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,RB,True,"RM,RB,WB,CB,RB",RB,RM,RB,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,26,Scott McKenna,Nottingham Forest,True,CB,90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,28,Danilo,Nottingham Forest,True,RW,70,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,DM,True,"RW,CM,AM,FW,LM,CM,LM,DM,DM",CM,RW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,30,Willy Boly,Nottingham Forest,True,CB,90,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,43,Ola Aina,Nottingham Forest,True,LM,71,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,LB,True,"LM,WB,LB,RB,RB,LB,RB,LB",LB,LM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,7,Neco Williams,Nottingham Forest,False,"LM,LB",19,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,RB,True,"LM,LB,RB,RW,LB,WB,RM,RB,RW,RB",RB,LM,LB,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,8,Cheikhou Kouyate,Nottingham Forest,False,CM,1,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CM,False,"CM,DM,AM,RM,LM",CM,CM,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,9,Taiwo Awoniyi,Nottingham Forest,False,LF,20,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,FW,True,"LF,FW,FW,CB",FW,LF,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,11,Chris Wood,Nottingham Forest,False,FW,1,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,FW,False,FW,FW,FW,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,19,Moussa Niakhate,Nottingham Forest,False,CB,0,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,CB,False,"CB,RW,LB,CB,RW",CB,CB,,,
ENG-Premier League,2324,Arsenal-Nott'ham Forest,21,Anthony Elanga,Nottingham Forest,False,RW,11,2023-08-12,Arsenal,Nottingham Forest,Arsenal,Arsenal,RW,False,"RW,LW,CM,AM,WB,LF,AML,LM,FW,RF,AMR,LW,RM",LW,RW,,,
ENG-Premier League,2324,Bournemouth-West Ham,1,Neto,Bournemouth,True,GK,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Bournemouth-West Ham,3,Milos Kerkez,Bournemouth,True,LB,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,LB,False,"LB,LW,LW,LB",LB,LB,,,
ENG-Premier League,2324,Bournemouth-West Ham,7,David Brooks,Bournemouth,True,RW,74,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,RW,False,"RW,AMR,AM,RW,DM,RM,RW,LW",RW,RW,,,
ENG-Premier League,2324,Bournemouth-West Ham,8,Joe Rothwell,Bournemouth,True,DM,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,DM,False,"DM,CM",DM,DM,,,
ENG-Premier League,2324,Bournemouth-West Ham,9,Dominic Solanke,Bournemouth,True,FW,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,FW,False,"FW,CF,LF",FW,FW,,,
ENG-Premier League,2324,Bournemouth-West Ham,10,Ryan Christie,Bournemouth,True,AM,66,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,DM,True,"AM,DM,DM,AM,RW,RM,DM,RW,RM,DM",DM,AM,,,
ENG-Premier League,2324,Bournemouth-West Ham,25,Marcos Senesi,Bournemouth,True,CB,59,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,CB,False,"CB,LB",CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,27,Illia Zabarnyi,Bournemouth,True,CB,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,29,Philip Billing,Bournemouth,True,DM,90,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,CM,True,"DM,CM,AM,FW,AML",DM,DM,,,
ENG-Premier League,2324,Bournemouth-West Ham,32,Jaidon Anthony,Bournemouth,True,LW,59,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,LW,False,"LW,LW,CM",LW,LW,,,
ENG-Premier League,2324,Bournemouth-West Ham,37,Max Aarons,Bournemouth,True,RB,74,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,RB,False,"RB,LB,RB",RB,RB,,,
ENG-Premier League,2324,Bournemouth-West Ham,20,Ionut Radu,Bournemouth,False,GK,0,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Bournemouth-West Ham,6,Chris Mepham,Bournemouth,False,CB,31,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,CB,False,"CB,LB",CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,19,Justin Kluivert,Bournemouth,False,LW,31,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,AM,True,"LW,RW,LW,AM,FW,CM",LW,LW,,,
ENG-Premier League,2324,Bournemouth-West Ham,21,Kieffer Moore,Bournemouth,False,AM,24,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,FW,True,"AM,FW,LW",AM,AM,,,
ENG-Premier League,2324,Bournemouth-West Ham,22,Hamed Junior Traore,Bournemouth,False,CM,0,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,CM,False,"CM,DM,DM,AM",DM,CM,,,
ENG-Premier League,2324,Bournemouth-West Ham,23,James Hill,Bournemouth,False,RB,16,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,RB,False,"RB,LB",RB,RB,,,
ENG-Premier League,2324,Bournemouth-West Ham,24,Antoine Semenyo,Bournemouth,False,RW,16,2023-08-12,Bournemouth,West Ham,West Ham,West Ham,RW,False,"RW,AML,AM,CM,LW,AMR,RW,LW,RM,AM,LW,CM",LW,RW,,,
