league,season,game,jersey_number,player,team,is_starter,position,minutes_played,date,home_team,away_team,opponent_1,opponent,position_mode,is_oop,all_positions,most_common_position,position_1,position_2,position_3,position_4
ENG-Premier League,2324,Brighton-Luton Town,3,Igor,Brighton,False,LB,0,2023-08-12,Brighton,Luton,Luton,Luton,LB,False,"LB,CB,RM",LB,LB,,,
ENG-Premier League,2324,Brighton-Luton Town,10,Julio Enciso,Brighton,False,AM,3,2023-08-12,Brighton,Luton,Luton,Luton,AM,False,"AM,RF,CM,LW",AM,AM,,,
ENG-Premier League,2324,Brighton-Luton Town,11,Billy Gilmour,Brighton,False,DM,17,2023-08-12,Brighton,Luton,Luton,Luton,DM,False,"DM,CM",DM,DM,,,
ENG-Premier League,2324,Brighton-Luton Town,24,Simon Adingra,Brighton,False,RW,17,2023-08-12,Brighton,Luton,Luton,Luton,RW,False,"RW,RM,LW,RW,WB,AMR,LW,RM,RW,RW,LW,LW",RW,RW,,,
ENG-Premier League,2324,Brighton-Luton Town,28,Evan Ferguson,Brighton,False,FW,13,2023-08-12,Brighton,Luton,Luton,Luton,FW,False,"FW,RW,AM,CF",FW,FW,,,
ENG-Premier League,2324,Brighton-Luton Town,34,Joel Veltman,Brighton,False,RB,12,2023-08-12,Brighton,Luton,Luton,Luton,RB,False,"RB,WB,CB",RB,RB,,,
ENG-Premier League,2324,Brighton-Luton Town,40,Facundo Buonanotte,Brighton,False,RW,0,2023-08-12,Brighton,Luton,Luton,Luton,RW,False,"RW,CM,AM,AMR",RW,RW,,,
ENG-Premier League,2324,Brighton-Luton Town,24,Thomas Kaminski,Luton,True,GK,90,2023-08-12,Brighton,Luton,Brighton,Brighton,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Brighton-Luton Town,4,Tom Lockyer,Luton,True,CB,90,2023-08-12,Brighton,Luton,Brighton,Brighton,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Brighton-Luton Town,5,Mads Juel Andersen,Luton,True,CB,75,2023-08-12,Brighton,Luton,Brighton,Brighton,CB,False,"CB,WB",CB,CB,,,
ENG-Premier League,2324,Brighton-Luton Town,9,Carlton Morris,Luton,True,FW,90,2023-08-12,Brighton,Luton,Brighton,Brighton,FW,False,"FW,RF,AM",FW,FW,,,
ENG-Premier League,2324,Brighton-Luton Town,11,Elijah Adebayo,Luton,True,FW,63,2023-08-12,Brighton,Luton,Brighton,Brighton,FW,False,"FW,AMC,LW,WB,CM,AM",FW,FW,,,
ENG-Premier League,2324,Brighton-Luton Town,12,Issa Kabore,Luton,True,WB,63,2023-08-12,Brighton,Luton,Brighton,Brighton,WB,False,"WB,RB,RM,CB",WB,WB,,,
ENG-Premier League,2324,Brighton-Luton Town,13,Marvelous Nakamba,Luton,True,CM,90,2023-08-12,Brighton,Luton,Brighton,Brighton,CM,False,CM,CM,CM,,,
