player_id,team,opponent,game_id,formation_position_value,player,team_x,date,home_team,away_team,opponent,reason,status,team_y
406564.0,Chelsea,Man City,1810666.0,1,Djordje Petrovic,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
403850.0,Chelsea,Man City,1810666.0, 2,Malo Gusto,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
363496.0,Chelsea,Man City,1810666.0, 3,Marc Cucurella,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
369430.0,Chelsea,Man City,1810666.0, 4,Enzo Fernandez,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,injured doubtful,Doubtful,Chelsea
353292.0,Chelsea,Man City,1810666.0, 5,Trevoh Chalobah,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
28550.0,Chelsea,Man City,1810666.0, 6,Thiago Silva,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
389935.0,Chelsea,Man City,1810666.0, 7,Noni Madueke,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
410175.0,Chelsea,Man City,1810666.0, 8,Moises Caicedo,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
426050.0,Chelsea,Man City,1810666.0, 9,Nicolas Jackson,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
395692.0,Chelsea,Man City,1810666.0, 10,Cole Palmer,Manchester City,2024-04-20 17:15:00,Manchester City,Chelsea,Chelsea,,,
375621.0,Chelsea,Man City,1810666.0, 11,Conor Gallagher,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
300426.0,Chelsea,Man City,1810666.0, 0,Axel Disasi,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,injured doubtful,Doubtful,Chelsea
365406.0,Chelsea,Man City,1810666.0, 0,Benoit Badiashile,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
97692.0,Chelsea,Man City,1810666.0, 0,Raheem Sterling,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,unfit,Doubtful,Chelsea
409376.0,Chelsea,Man City,1810666.0, 0,Mykhailo Mudryk,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
135768.0,Chelsea,Man City,1810666.0, 0,,,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
410639.0,Chelsea,Man City,1810666.0, 0,Carney Chukwuemeka,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
299272.0,Chelsea,Man City,1810666.0, 0,Ben Chilwell,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
478451.0,Chelsea,Man City,1810666.0, 0,Deivid Washington,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
467969.0,Chelsea,Man City,1810666.0, 0,Alfie Gilchrist,Chelsea,2024-04-20 17:15:00,Manchester City,Chelsea,Manchester City,,,
133569.0,Man City,Chelsea,1810666.0,1,Stefan Ortega,Manchester City,2024-04-20 17:15:00,Manchester City,Chelsea,Chelsea,,,
