PlayerID,Team,Opponent,GameID,TeamPlayerFormation,player,date,home_team,away_team,reason,status,player_y
136456,Bournemouth,Man Utd,1729388, 8,Lewis Cook,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
136459,Bournemouth,Man Utd,1729388, 9,Dominic Solanke,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
331579,Bournemouth,Man Utd,1729388, 10,Justin Kluivert,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
361879,Bournemouth,Man Utd,1729388, 11,Luis Sinisterra,2024-04-13 17:30:00,Bournemouth,Manchester United,injured,Out,Luis Sinisterra
332419,Bournemouth,Man Utd,1729388, 0,Lloyd Kelly,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
349368,Bournemouth,Man Utd,1729388, 0,Romain Faivre,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
410998,Bournemouth,Man Utd,1729388, 0,Alex Scott,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
362837,Bournemouth,Man Utd,1729388, 0,James Hill,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
134695,Bournemouth,Man Utd,1729388, 0,Enes Unal,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
145277,Bournemouth,Man Utd,1729388, 0,Philip Billing,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
362103,Bournemouth,Man Utd,1729388, 0,Max Aarons,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
362806,Bournemouth,Man Utd,1729388, 0,Mark Travers,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
471270,Bournemouth,Man Utd,1729388, 0,,2024-04-13 17:30:00,Bournemouth,Manchester United,,,
362426,Burnley,Brighton,1729397,1,,2024-04-13 15:00:00,Burnley,Brighton,,,
402874,Burnley,Brighton,1729397, 2,Lorenz Assignon,2024-04-13 15:00:00,Burnley,Brighton,,,
349504,Burnley,Brighton,1729397, 3,Vitinho,2024-04-13 15:00:00,Burnley,Brighton,,,
273292,Burnley,Brighton,1729397, 4,Josh Cullen,2024-04-13 15:00:00,Burnley,Brighton,,,
399619,Burnley,Brighton,1729397, 5,Hjalmar Ekdal,2024-04-13 15:00:00,Burnley,Brighton,,,
414233,Burnley,Brighton,1729397, 6,Maxime Esteve,2024-04-13 15:00:00,Burnley,Brighton,,,
371447,Burnley,Brighton,1729397, 7,Lyle Foster,2024-04-13 15:00:00,Burnley,Brighton,,,
