game_id,player_id,reason,status,player,date,home_team,away_team
1810666,300426,injured doubtful,Doubtful,Axel Disasi,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,300945,injured,Out,Christopher Nkunku,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,369430,injured doubtful,Doubtful,Enzo Fernandez,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,404616,injured,Out,Lesley Ugochukwu,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,421351,injured,Out,Levi Colwill,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,97692,unfit,Doubtful,Raheem Sterling,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,361330,injured,Out,Reece James,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,362151,unfit,Doubtful,Robert Sanchez,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,425319,injured,Out,Romeo Lavia,2024-04-20 17:15:00,Manchester City,Chelsea
1810666,373946,injured,Out,,2024-04-20 17:15:00,Manchester City,Chelsea
1729397,109922,injured doubtful,Doubtful,Adam Webster,2024-04-13 15:00:00,Burnley,Brighton
1729397,381255,injured,Out,Billy Gilmour,2024-04-13 15:00:00,Burnley,Brighton
1729397,423720,injured doubtful,Doubtful,Evan Ferguson,2024-04-13 15:00:00,Burnley,Brighton
1729397,469629,injured,Out,Jack Hinshelwood,2024-04-13 15:00:00,Burnley,Brighton
1729397,4511,injured,Out,James Milner,2024-04-13 15:00:00,Burnley,Brighton
1729397,425142,injured,Out,Kaoru Mitoma,2024-04-13 15:00:00,Burnley,Brighton
1729397,122926,injured,Out,Solly March,2024-04-13 15:00:00,Burnley,Brighton
1729397,423732,injured,Out,Aaron Ramsey,2024-04-13 15:00:00,Burnley,Brighton
1729397,419917,injured doubtful,Doubtful,Ameen Al Dakhil,2024-04-13 15:00:00,Burnley,Brighton
1729397,362826,suspended,Out,Dara O'Shea,2024-04-13 15:00:00,Burnley,Brighton
1729397,365831,injured,Out,Han-Noah Massengo,2024-04-13 15:00:00,Burnley,Brighton
1729397,353412,injured doubtful,Doubtful,Jordan Beyer,2024-04-13 15:00:00,Burnley,Brighton
1729397,438959,injured,Out,Luca Koleosho,2024-04-13 15:00:00,Burnley,Brighton
1729397,86425,injured,Out,Nathan Redmond,2024-04-13 15:00:00,Burnley,Brighton
1729410,134115,injured,Out,Callum Wilson,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,105171,injured,Out,Jamaal Lascelles,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,342563,injured doubtful,Doubtful,Joe Willock,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,201755,injured,Out,Joelinton,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,83078,injured,Out,Kieran Trippier,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,474264,injured,Out,Lewis Miley,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,136776,injured,Out,Matt Targett,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,303924,injured,Out,Miguel Almiron,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,105720,injured,Out,Nick Pope,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,343501,other,Out,Sandro Tonali,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,379732,injured,Out,Sven Botman,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,415174,injured,Out,Tino Livramento,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,29796,injured,Out,,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,345022,injured,Out,Manor Solomon,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,317804,injured,Out,Richarlison,2024-04-13 12:30:00,Newcastle,Tottenham
1729410,322611,injured,Out,,2024-04-13 12:30:00,Newcastle,Tottenham
1729433,402367,injured,Out,Aaron Hickey,2024-04-20 15:00:00,Luton,Brentford
1729433,94935,injured,Out,Ben Mee,2024-04-20 15:00:00,Luton,Brentford
1729433,101856,injured doubtful,Doubtful,Christian Norgaard,2024-04-20 15:00:00,Luton,Brentford
1729433,318744,injured,Out,Josh Dasilva,2024-04-20 15:00:00,Luton,Brentford
1729433,321085,injured doubtful,Doubtful,Kristoffer Ajer,2024-04-20 15:00:00,Luton,Brentford
1729433,229562,injured,Out,Rico Henry,2024-04-20 15:00:00,Luton,Brentford
1729433,349102,injured doubtful,Doubtful,Albert Sambi Lokonga,2024-04-20 15:00:00,Luton,Brentford
1729433,141209,injured,Out,Amari'i Bell,2024-04-20 15:00:00,Luton,Brentford
1729433,352908,injured,Out,Chiedozie Ogbene,2024-04-20 15:00:00,Luton,Brentford
1729433,108630,injured,Out,,2024-04-20 15:00:00,Luton,Brentford
1729433,362145,injured,Out,Elijah Adebayo,2024-04-20 15:00:00,Luton,Brentford
1729433,366080,injured,Out,Gabriel Osho,2024-04-20 15:00:00,Luton,Brentford
1729433,329328,injured,Out,Jacob Brown,2024-04-20 15:00:00,Luton,Brentford
1729433,379632,injured,Out,Mads Andersen,2024-04-20 15:00:00,Luton,Brentford
1729433,243249,injured,Out,Marvelous Nakamba,2024-04-20 15:00:00,Luton,Brentford
1729433,388671,injured doubtful,Doubtful,Teden Mengi,2024-04-20 15:00:00,Luton,Brentford
1729433,134360,injured,Out,Tom Lockyer,2024-04-20 15:00:00,Luton,Brentford
1729439,423732,injured,Out,Aaron Ramsey,2024-04-20 15:00:00,Sheffield United,Burnley
1729439,419917,injured,Out,Ameen Al Dakhil,2024-04-20 15:00:00,Sheffield United,Burnley
1729439,365831,injured,Out,Han-Noah Massengo,2024-04-20 15:00:00,Sheffield United,Burnley
